Id,SalePrice
109,181469.70160897123
544,181469.70160897123
153,181469.70160897123
318,181469.70160897123
255,181469.70160897123
138,181469.70160897123
2827,181469.70160897123
145,181469.70160897123
1942,181469.70160897123
1956,181469.70160897123
1044,181469.70160897123
2752,181469.70160897123
807,181469.70160897123
1177,181469.70160897123
1480,181469.70160897123
324,181469.70160897123
1311,181469.70160897123
770,181469.70160897123
2063,181469.70160897123
69,181469.70160897123
2062,181469.70160897123
351,181469.70160897123
2393,181469.70160897123
12,181469.70160897123
2339,181469.70160897123
624,181469.70160897123
86,181469.70160897123
1534,181469.70160897123
2243,181469.70160897123
1957,181469.70160897123
380,181469.70160897123
2860,181469.70160897123
2517,181469.70160897123
1933,181469.70160897123
820,181469.70160897123
675,181469.70160897123
2910,181469.70160897123
21,181469.70160897123
1873,181469.70160897123
2125,181469.70160897123
1489,181469.70160897123
2383,181469.70160897123
983,181469.70160897123
1325,181469.70160897123
1378,181469.70160897123
1537,181469.70160897123
905,181469.70160897123
1532,181469.70160897123
132,181469.70160897123
1078,181469.70160897123
2511,181469.70160897123
912,181469.70160897123
2351,181469.70160897123
330,181469.70160897123
2586,181469.70160897123
224,181469.70160897123
98,181469.70160897123
2565,181469.70160897123
1934,181469.70160897123
997,181469.70160897123
64,181469.70160897123
1799,181469.70160897123
230,181469.70160897123
1295,181469.70160897123
638,181469.70160897123
2278,181469.70160897123
2202,181469.70160897123
2833,181469.70160897123
1707,181469.70160897123
2428,181469.70160897123
242,181469.70160897123
1564,181469.70160897123
2613,181469.70160897123
2832,181469.70160897123
2459,181469.70160897123
1360,181469.70160897123
2723,181469.70160897123
1350,181469.70160897123
136,181469.70160897123
2235,181469.70160897123
1993,181469.70160897123
367,181469.70160897123
1309,181469.70160897123
402,181469.70160897123
1592,181469.70160897123
2409,181469.70160897123
539,181469.70160897123
1940,181469.70160897123
588,181469.70160897123
96,181469.70160897123
1187,181469.70160897123
2154,181469.70160897123
550,181469.70160897123
811,181469.70160897123
124,181469.70160897123
1836,181469.70160897123
779,181469.70160897123
1886,181469.70160897123
1724,181469.70160897123
2450,181469.70160897123
1013,181469.70160897123
2084,181469.70160897123
1184,181469.70160897123
728,181469.70160897123
950,181469.70160897123
2524,181469.70160897123
2513,181469.70160897123
2028,181469.70160897123
2309,181469.70160897123
51,181469.70160897123
699,181469.70160897123
1881,181469.70160897123
1345,181469.70160897123
166,181469.70160897123
781,181469.70160897123
379,181469.70160897123
2818,181469.70160897123
1168,181469.70160897123
1396,181469.70160897123
838,181469.70160897123
1492,181469.70160897123
637,181469.70160897123
1826,181469.70160897123
173,181469.70160897123
715,181469.70160897123
1183,181469.70160897123
2433,181469.70160897123
2866,181469.70160897123
2311,181469.70160897123
1551,181469.70160897123
1049,181469.70160897123
657,181469.70160897123
414,181469.70160897123
1181,181469.70160897123
1514,181469.70160897123
1040,181469.70160897123
216,181469.70160897123
1720,181469.70160897123
2331,181469.70160897123
204,181469.70160897123
19,181469.70160897123
2438,181469.70160897123
89,181469.70160897123
240,181469.70160897123
105,181469.70160897123
2020,181469.70160897123
888,181469.70160897123
1019,181469.70160897123
2132,181469.70160897123
203,181469.70160897123
420,181469.70160897123
2333,181469.70160897123
632,181469.70160897123
2800,181469.70160897123
1885,181469.70160897123
1734,181469.70160897123
2327,181469.70160897123
1282,181469.70160897123
2688,181469.70160897123
2581,181469.70160897123
2067,181469.70160897123
2115,181469.70160897123
754,181469.70160897123
1079,181469.70160897123
2615,181469.70160897123
329,181469.70160897123
1320,181469.70160897123
416,181469.70160897123
284,181469.70160897123
1385,181469.70160897123
275,181469.70160897123
2024,181469.70160897123
68,181469.70160897123
1910,181469.70160897123
381,181469.70160897123
1323,181469.70160897123
2432,181469.70160897123
777,181469.70160897123
1107,181469.70160897123
30,181469.70160897123
282,181469.70160897123
188,181469.70160897123
2356,181469.70160897123
1554,181469.70160897123
1464,181469.70160897123
2469,181469.70160897123
1834,181469.70160897123
1779,181469.70160897123
2569,181469.70160897123
2334,181469.70160897123
2330,181469.70160897123
2119,181469.70160897123
988,181469.70160897123
382,181469.70160897123
670,181469.70160897123
2760,181469.70160897123
543,181469.70160897123
2835,181469.70160897123
1735,181469.70160897123
448,181469.70160897123
