Date,Trap,Latitude,Longitude,Species,Block,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,sunset,sunrise,SunHours,isRainy,Humidity
2007-05-29,T002,41.95469,-87.800991,CULEX PIPIENS/RESTUANS,41,9,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T002,41.95469,-87.800991,CULEX RESTUANS,41,9,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T007,41.994991,-87.769279,CULEX RESTUANS,62,9,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T015,41.974089,-87.824812,CULEX PIPIENS/RESTUANS,79,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T015,41.974089,-87.824812,CULEX RESTUANS,79,8,4,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T045,41.9216,-87.666455,CULEX RESTUANS,15,8,2,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T046,41.891118,-87.65449100000001,CULEX RESTUANS,25,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T048,41.867108,-87.654224,CULEX PIPIENS/RESTUANS,11,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T048,41.867108,-87.654224,CULEX RESTUANS,11,8,2,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T049,41.896282,-87.655232,CULEX RESTUANS,11,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T050,41.919343,-87.694259,CULEX PIPIENS/RESTUANS,21,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T054,41.921965,-87.632085,CULEX PIPIENS/RESTUANS,22,8,2,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T054,41.921965,-87.632085,CULEX RESTUANS,22,8,3,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T086,41.688324,-87.676709,CULEX PIPIENS/RESTUANS,22,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T086,41.688324,-87.676709,CULEX RESTUANS,22,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T091,41.862292,-87.64886,CULEX RESTUANS,11,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T094,41.720848,-87.666014,CULEX RESTUANS,17,9,3,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T096,41.731922,-87.677512,CULEX PIPIENS,22,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T096,41.731922,-87.677512,CULEX RESTUANS,22,8,5,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T129,41.891126,-87.61156,CULEX PIPIENS/RESTUANS,53,5,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T129,41.891126,-87.61156,CULEX RESTUANS,53,5,2,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T143,41.999128999999996,-87.795585,CULEX PIPIENS/RESTUANS,65,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T148,42.01743,-87.68776899999999,CULEX PIPIENS/RESTUANS,75,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T153,41.907645,-87.760886,CULEX RESTUANS,15,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-05-29,T159,41.732984,-87.649642,CULEX RESTUANS,89,8,1,0,88,62.5,75.25,10.0,58,65.0,0421,1917,BR HZ,0.0,29.415,30.11,5.8,18,6.5,10.25,2007-05-29 19:17:00,2007-05-29 04:21:00,896.0,0,55.05
2007-06-05,T002,41.95469,-87.800991,CULEX PIPIENS,41,9,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T002,41.95469,-87.800991,CULEX PIPIENS/RESTUANS,41,9,3,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T002,41.95469,-87.800991,CULEX RESTUANS,41,9,5,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T009,41.981964000000005,-87.812827,CULEX RESTUANS,91,8,2,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T011,41.944869,-87.832763,CULEX RESTUANS,36,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T015,41.974089,-87.824812,CULEX PIPIENS/RESTUANS,79,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T015,41.974089,-87.824812,CULEX RESTUANS,79,8,2,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T016,42.011601,-87.81150600000001,CULEX RESTUANS,72,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T019,41.94983,-87.69845699999999,CULEX RESTUANS,38,9,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T025,41.979243,-87.750938,CULEX RESTUANS,49,9,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T028,41.986921,-87.689778,CULEX RESTUANS,58,9,2,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T031,41.801497999999995,-87.763416,CULEX PIPIENS/RESTUANS,50,9,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T033,41.906638,-87.701431,CULEX RESTUANS,14,9,3,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T045,41.9216,-87.666455,CULEX PIPIENS,15,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T045,41.9216,-87.666455,CULEX PIPIENS/RESTUANS,15,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T045,41.9216,-87.666455,CULEX RESTUANS,15,8,2,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T046,41.891118,-87.65449100000001,CULEX RESTUANS,25,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T048,41.867108,-87.654224,CULEX PIPIENS,11,8,2,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T048,41.867108,-87.654224,CULEX PIPIENS/RESTUANS,11,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T048,41.867108,-87.654224,CULEX RESTUANS,11,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T049,41.896282,-87.655232,CULEX RESTUANS,11,8,2,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T050,41.919343,-87.694259,CULEX PIPIENS/RESTUANS,21,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T050,41.919343,-87.694259,CULEX RESTUANS,21,8,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T054,41.921965,-87.632085,CULEX RESTUANS,22,8,3,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T086,41.688324,-87.676709,CULEX RESTUANS,22,8,4,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T089,41.723195000000004,-87.64997,CULEX RESTUANS,10,5,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T090,41.868077,-87.666901,CULEX PIPIENS/RESTUANS,11,9,1,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
2007-06-05,T090,41.868077,-87.666901,CULEX RESTUANS,11,9,7,0,64,49.0,56.5,-9.0,48,51.0,0417,1923,RA BR,0.42,29.130000000000003,29.79,5.2,5,7.6,-8.5,2007-06-05 19:23:00,2007-06-05 04:17:00,906.0,1,73.14
